,dd,ts_c,par,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_d,fO3_h,c_i,td_dd,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,es,ei_acc,et_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,f_LS,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves,leaf_pop_distribution,layer_lai
89,103,19.73,311.21,3,4.28571414947509,0.048690476190476395,14.072464729873849,492.7905248911969,83.89759032137674,18.286572998014744,A_c,9.093430890126475,7.5758817453172105,105.63705088608656,388.1213992258478,388.1213992258478,1164.3641976775434,1164.3641976775434,54.85971899404423,0,0,1e-05,0,0,0,0,1.0,1.0,325.6101418952149,13.017916666666665,34.43708215087058,1313.0308500383505,1.0,62.746,0.4675798874541674,1.5085772202354357,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,0.0010393551576409858,0.0007788133091576814,0,0.01759937934144164,0.012570056388860447,0.0,1.0,0.0,0.0,0.0,0.01,0.7939166500000001,1.0,0.9999998749150919,0.20525894560435182,35.212350295362185,60.624158929101384,29.583919654987096,31.109387783182907,292.31368170576417,90.0,200.0,1.0,0.2238437970308723,0,58.434270435364645,153.37727000645225,0.8765140565304697,2.629542169591409,0,[[3.0]],[3.0]
90,103,12.25,82.72,3,4.28571414947509,0.048690476190476395,14.072464729873849,206.90749041647297,33.82389452172387,8.94731836518647,A_p,4.8025576620081285,7.5758817453172105,173.7207947096902,236.01089362109053,236.01089362109053,708.0326808632716,708.0326808632716,26.841955095559413,0,0,1e-05,0,0,0,0,1.0,1.0,338.62265725489624,13.017916666666665,29.200165985544288,1143.3967245238778,1.0,57.886,0.4675798874541674,1.5258664278186649,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,0.00014901553165404277,0.00011687876720206612,0,0.017748394873095683,0.012686935156062513,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.07837159741257069,57.906931569896734,158.77755910002745,77.48169433449002,49.95249841334949,765.5834520865252,90.0,200.0,1.0,0.09815355493719712,0,27.675789746626354,93.16124471309527,0.4151368461993953,1.2454105385981857,0,[[3.0]],[3.0]
91,103,16.75,0.0,3,4.28571414947509,0.048690476190476395,14.072464729873849,0.0,0.0,-0.6593717126266961,A_j,0.690772208094905,7.5758817453172105,1965.484180249281,20.86,20.86,62.58,62.58,-1.9781151378800885,0,0,1e-05,0,0,0,0,1.0,1.0,424.96499513274955,13.017916666666665,37.2728619917962,1435.763224790163,1.0,55.356,0.4675798874541674,1.5283532077678066,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,0.00015132899704168164,4.451893822165779e-05,0,0.017899723870137364,0.01273145409428417,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.07090763575423062,655.161393416427,175.49098637371458,85.63766215917319,238.294177721067,846.1711838851069,90.0,200.0,1.0,0.0,0,43.958114175113074,127.16943325644958,0.6593717126266961,1.9781151378800885,0,[[3.0]],[3.0]
92,103,14.49,0.0,3,4.28571414947509,0.048690476190476395,14.072464729873849,0.0,0.0,-0.5247717085797103,A_j,0.6540906195339538,7.5758817453172105,1965.484180249281,20.86,20.86,62.58,62.58,-1.574315125739131,0,0,1e-05,0,0,0,0,1.0,1.0,418.0770864862566,13.017916666666665,35.115982342876144,1363.7480414382433,1.0,53.191,0.4675798874541674,1.5307079339981289,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,0.0001234903330187892,3.7103283015220106e-05,0,0.018023214203156154,0.012768557377299391,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.06344367409589056,655.161393416427,196.1369847706221,95.71268123672294,243.1055174803776,945.7207349304134,90.0,200.0,1.0,0.0,0,34.98478057198069,109.13541928075975,0.5247717085797103,1.574315125739131,0,[[3.0]],[3.0]
93,103,8.58,0.0,3,4.28571414947509,0.048690476190476395,14.072464729873849,0.0,0.0,-0.27890658476782915,A_j,0.6019510356289551,7.5758817453172105,1965.484180249281,20.86,20.86,62.58,62.58,-0.8367197543034874,0,0,1e-05,0,0,0,0,1.0,1.0,405.45480681335687,13.017916666666665,31.889095763170825,1265.3623110146814,1.0,50.717,0.4675798874541674,1.5328749577263932,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,6.502046119792853e-05,2.045993423816068e-05,0,0.018088234664354084,0.012789017311537552,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.048515750779210436,655.161393416427,256.48682623850584,125.16273700186846,254.02238248912505,1236.7117302936174,90.0,200.0,1.0,0.0,0,18.593772317855276,71.10823926150898,0.27890658476782915,0.8367197543034874,0,[[3.0]],[3.0]
94,103,11.02,0.0,3,4.28571414947509,0.048690476190476395,14.072464729873849,0.0,0.0,-0.36396549625203306,A_j,0.5825667768555426,7.5758817453172105,1965.484180249281,20.86,20.86,62.58,62.58,-1.0918964887560991,0,0,1e-05,0,0,0,0,1.0,1.0,409.8390360369843,13.017916666666665,31.062571733730945,1221.7195123097154,1.0,48.735,0.4675798874541674,1.534972198123073,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,9.0430215645358e-05,2.8590820158337297e-05,0,0.018178664879999442,0.01281760813169589,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.05224773160838046,655.161393416427,238.16633865004115,116.22254150173502,251.11365939160257,1148.3751781297876,90.0,200.0,1.0,0.0,0,24.264366416802204,85.21225017585358,0.36396549625203306,1.0918964887560991,0,[[3.0]],[3.0]
95,103,9.8,0.0,3,4.28571414947509,0.048690476190476395,14.072464729873849,0.0,0.0,-0.318873495156658,A_j,0.5745039284892454,7.5758817453172105,1965.484180249281,20.86,20.86,62.58,62.58,-0.956620485469974,0,0,1e-05,0,0,0,0,1.0,1.0,407.4859652155362,13.017916666666665,30.432947389755014,1202.2460984004767,1.0,47.15,0.4675798874541674,1.5370404122656343,0.0,-0.03656242199901881,0.09747397364954388,0.026407661642238067,0.2547897844770159,8.450154125527138e-05,2.4750105502847e-05,0,0.018263166421254712,0.012842358237198736,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.05597971243755049,655.161393416427,222.2885827400384,108.47437206828602,248.32974231706672,1071.8168329211353,90.0,200.0,1.0,0.0,0,21.25823301044387,77.89025518598278,0.318873495156658,0.956620485469974,0,[[3.0]],[3.0]
96,104,6.7,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.22621518439596644,A_j,0.5763483440986851,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-0.6786455531878993,0,0,1e-05,0,0,0,0,1.0,1.0,402.67201855051746,27.29875,30.091302573523613,1201.6590698255006,1.0,45.58,0.4675798874541674,1.5391152663043894,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,6.11917743803302e-05,1.5207162387526388e-05,0,6.11917743803302e-05,1.5207162387526388e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.06344367409589056,655.161393416427,196.1369847706221,95.71268123672294,243.1055174803776,945.7207349304134,90.0,200.0,1.0,0.0,0,15.08101229306443,61.65658545790464,0.22621518439596644,0.6786455531878993,0,[[3.0]],[3.0]
97,104,7.96,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.2603998305768733,A_j,0.5489965090539999,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-0.78119949173062,0,0,1e-05,0,0,0,0,1.0,1.0,404.4358960729238,27.29875,28.786113780459633,1144.631785901893,1.0,43.603,0.4675798874541674,1.5410916537369839,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,7.411845415512302e-05,1.8977727554084895e-05,0,0.00013531022853545323,3.4184889941611286e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.06344367409589056,655.161393416427,196.1369847706221,95.71268123672294,243.1055174803776,945.7207349304134,90.0,200.0,1.0,0.0,0,17.359988705124888,67.86080248381408,0.2603998305768733,0.78119949173062,0,[[3.0]],[3.0]
98,104,7.33,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.24275446805977613,A_j,0.5312564726761769,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-0.7282634041793283,0,0,1e-05,0,0,0,0,1.0,1.0,403.5254213401182,27.29875,27.79649415435801,1107.6446481219064,1.0,42.104,0.4675798874541674,1.543004177038618,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,6.658280456901675e-05,1.6794881272583106e-05,0,0.00020189303310446998,5.0979771214194395e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.06344367409589056,655.161393416427,196.1369847706221,95.71268123672294,243.1055174803776,945.7207349304134,90.0,200.0,1.0,0.0,0,16.183631203985076,64.6937128625339,0.24275446805977613,0.7282634041793283,0,[[3.0]],[3.0]
