Date,Year,dd,hr,Ts_C,VPD,u,SWC,"P, kPa","O3, ppb",PPFD,RH,"precip, mm"
21/03/2015,2015,80,8,4.93,-0.11,1.39,0.297,101.18,27.15121429,3173.61,113,5
21/03/2015,2015,80,9,7.04,0.16,2.71,0.297,101.18,28.79071429,3173.61,84.5,5
21/03/2015,2015,80,10,7.94,0.24,3.69,0.297,101.18,26.63607143,3173.61,77.49,5
21/03/2015,2015,80,11,8.86,0.28,3.99,0.297,101.18,26.11285714,3173.61,75.14,5
21/03/2015,2015,80,12,8.64,0.34,4.59,0.297,101.18,26.03485714,3173.61,69.58,5
21/03/2015,2015,80,13,8.46,0.37,4.38,0.297,101.18,27.473,3173.61,66.93,5
21/03/2015,2015,80,14,8.7,0.39,4.27,0.297,101.18,29.21878571,3173.61,65.6,5
21/03/2015,2015,80,15,8.78,0.41,3.75,0.297,101.18,26.29342857,3173.61,63.68,5
21/03/2015,2015,80,16,8.42,0.43,3.9,0.297,101.18,30.58507143,3173.61,60.95,5
21/03/2015,2015,80,17,7.91,0.36,3.34,0.297,101.18,30.64828571,3173.61,66.66,5
21/03/2015,2015,80,18,6.91,0.22,2.26,0.297,101.18,31.78157143,3173.61,77.41,5
21/03/2015,2015,80,19,4.24,0.06,1.43,0.297,101.18,31.10035714,3173.61,93,5
21/03/2015,2015,80,20,2.19,-0.07,0.98,0.297,101.18,27.71071429,3173.61,110.1,5
21/03/2015,2015,80,21,1.09,-0.08,1.15,0.297,101.18,26.10742857,3173.61,112.7,5
21/03/2015,2015,80,22,0.27,-0.09,0.89,0.297,101.18,26.09778571,3173.61,114.7,5
21/03/2015,2015,80,23,-0.7,-0.09,0.8,0.297,101.18,25.79321429,3173.61,116,5
22/03/2015,2015,81,0,2.18,-0.07,1.63,0.297,101.18,25.123,3173.61,109.1,5
22/03/2015,2015,81,1,0.82,-0.07,0.61,0.297,101.18,24.77342857,3173.61,111.5,5
22/03/2015,2015,81,2,-1.78,-0.07,0.34,0.297,101.18,25.40285714,3173.61,113.3,5
22/03/2015,2015,81,3,-2.88,-0.07,0.21,0.297,101.18,25.46164286,3173.61,114.1,5
22/03/2015,2015,81,4,-3.22,-0.07,0.16,0.297,101.18,25.21907143,3173.61,114.6,5
22/03/2015,2015,81,5,-3.4,-0.07,0.12,0.297,101.18,25.25185714,3173.61,114.6,5
22/03/2015,2015,81,6,-3.6,-0.07,0.07,0.297,101.18,23.9655,3173.61,115,5
22/03/2015,2015,81,7,-3.56,-0.07,0.13,0.297,101.18,24.20471429,3173.61,115.4,5
22/03/2015,2015,81,8,-0.33,-0.09,0.15,0.297,101.18,27.15121429,3173.61,114.3,5
22/03/2015,2015,81,9,3.87,0.06,1.6,0.297,101.18,28.79071429,3173.61,92.5,5
22/03/2015,2015,81,10,6.82,0.28,2.34,0.297,101.18,26.63607143,3173.61,71.22,5
22/03/2015,2015,81,11,8.39,0.39,2.91,0.297,101.18,26.11285714,3173.61,64.3,5
22/03/2015,2015,81,12,9.33,0.43,2.89,0.297,101.18,26.03485714,3173.61,63.52,5
22/03/2015,2015,81,13,9.45,0.43,3.47,0.297,101.18,27.473,3173.61,63.42,5
