,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,canopy_height,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
12,71,12,10.51,70.9671772428884,0.0,3,4.0,-1.001,12.684030137590337,30.3694903695291,1.0,6.19,50.59015746531819,50.09174991783675,25.258545728979872,1083.5808221306152,1.0,33.33480664732389,['A_p'],6.8199329717262405,6.8199329717262405,0.0,147.13350867349277,278.65848078824797,278.65848078824797,835.9754423647439,835.9754423647439,33.33480664732389,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1039.4017210674742,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0008863237092383859,0.00010252283736862743,False,0,0.0032349001593526146,0.0004385439336986129,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,2.3100961332562506,49.04450289116426,5.386637707755373,2.6286196785529725,37.80843489160238,24.24141540857171,90,180,0.3569606072481379,3,22.963964091397962,73.87588336373368,1.033378384112908,1.033378384112908,1
13,71,13,10.27,80.97592997811816,0.0,3,4.0,-1.001,12.684030137590337,32.23251672691252,1.0,5.85,57.96344774241476,55.46226542518506,26.62637051827094,1143.2271867758752,1.0,32.55419898637916,['A_p'],7.030240838147142,7.030240838147142,0.0,150.51269300846116,272.40227505393955,272.40227505393955,817.2068251618186,817.2068251618186,32.55419898637916,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1039.4843045672608,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0006657067441501564,-7.879474185065112e-05,False,0,0.0025691934152024583,0.0003597491918479618,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,2.183208785064469,50.170897669487054,5.699707249744575,2.7813941555970776,38.51559441864065,25.650318184454516,90,180,0.3434345077054206,3,22.374019921910076,72.58127375742484,1.0068308964859534,1.0068308964859534,1
14,71,14,9.89,42.31947483588621,0.0,3,4.0,-1.001,12.684030137590337,34.00867793327946,1.0,5.01,30.178511456949888,29.923275930037885,28.35871277397177,1219.2415790336938,1.0,22.730327550229344,['A_j'],5.475816804904912,5.475816804904912,0.0,209.29100280700584,195.89948660051792,195.89948660051792,587.6984598015538,587.6984598015538,22.730327550229344,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1045.2867064877719,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0006924179178243093,-6.938672625715968e-05,False,0,0.001876775497378149,0.00029036246559080214,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.8697223954141864,69.76366760233527,6.6553467886239055,3.2477356906672465,49.30270713663638,29.9509703351415,90,180,0.3074792115554006,3,21.467910423177617,70.57050897003437,0.9660559690429927,0.9660559690429927,1
15,71,15,9.56,25.553610503282275,0.0,3,4.0,-1.001,12.684030137590337,29.68967630798107,1.0,5.12,18.238859977152728,18.055944883860963,25.6613285382935,1104.5592898931134,1.0,14.222656133067353,['A_j'],3.356049647226896,3.356049647226896,0.0,315.383085268887,130.0006307092992,130.0006307092992,390.0018921278976,390.0018921278976,14.222656133067353,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1054.7483381130023,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0008211878284358255,-5.4840217143028707e-05,False,0,0.0010555876689423236,0.00023552224844777342,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.9107741845350565,105.12769508962901,6.512360822462063,3.177960119188067,64.62788201227691,29.307492456847445,90,180,0.24693044882098059,3,20.708144112873313,68.86273433245978,0.931866485079299,0.931866485079299,1
16,71,16,9.36,20.71553610503282,0.0,3,4.0,-1.001,12.684030137590337,34.35740817666687,1.0,4.94,14.818332015706934,14.621466401372269,29.878650094010354,1286.9990120167042,1.0,11.53076554719939,['A_j'],3.3028173026568197,3.3028173026568197,0.0,375.3790395550376,109.22293383402574,109.22293383402574,327.6688015020772,327.6688015020772,11.53076554719939,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1059.4701222741628,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0007608069083413107,-4.43617738490228e-05,False,0,0.00029478076060101286,0.0001911604745987506,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.8435985296099962,125.12634651834587,6.749653322065945,3.2937562368912765,71.77378453062275,30.375376797380348,90,180,0.16144798603688695,3,20.259649068994534,67.84491588580286,0.9116842081047538,0.9116842081047538,1
17,71,17,9.34,11.424507658643325,0.0,3,4.0,-1.001,12.684030137590337,33.74127238707845,1.0,5.0,10.585524708158072,7.683703592554964,30.055023827094278,1294.6878259077505,1.0,5.915415405174649,['A_j'],2.037290646691275,2.037290646691275,0.0,620.0842580091403,66.12004654276458,66.12004654276458,198.36013962829375,198.36013962829375,5.915415405174649,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1078.0942079454392,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0007828139352665961,-2.7938443519818652e-05,False,0,-0.00048803317466558323,0.00016322203107893194,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.8659904145850161,206.69475266971344,6.668657482201153,3.254231162048581,92.71558876931067,30.010872275811785,90,180,0.058365609303057585,3,20.215288956623187,67.74384309633967,0.9096880030480434,0.9096880030480434,1
18,71,18,9.25,4.978118161925601,0.0,3,4.0,-1.001,12.684030137590337,34.278015236200055,1.0,5.02,0.0,0.0,31.290848621095044,1348.3533407044736,1.0,0.0,['NA'],0.6784181353787616,0.6784181353787616,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0007841897717587307,-8.989804480418816e-06,False,0,-0.0012722229464243139,0.00015423222659851312,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.8734543762433564,655.161393416427,6.642089125698359,3.2412660976579484,133.75737615663957,29.891307047621297,90,180,0.0,3,20.016760188044927,67.290604749278,0.9007542084620217,0.9007542084620217,1
19,71,19,8.26,0.0,0.0,3,4.0,-1.001,12.684030137590337,33.8902881256141,1.0,4.33,0.0,0.0,30.558649289867063,1321.4346619643277,1.0,0.0,['NA'],0.6643095706525382,0.6643095706525382,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.000766776032460383,-9.865381976357484e-06,False,0,-0.0020389989788846966,0.00014436684462215563,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.615947699030624,655.161393416427,7.700528270440132,3.757772704444089,135.35601292216518,34.654586923570186,90,180,0.0,3,17.947297304197246,62.4741646984151,0.807628378688876,0.807628378688876,1
20,71,20,5.76,0.0,0.0,3,4.0,-1.001,12.684030137590337,29.960350602483924,1.0,4.84,0.0,0.0,27.269794029087425,1189.7859561261341,1.0,0.0,['NA'],0.598513509045016,0.598513509045016,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.0008080697616099457,-8.64129896041461e-06,False,0,-0.0028470687404946425,0.00013572554566174103,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.8062787213182958,655.161393416427,6.889108969216066,3.3618090517030788,134.13294117170943,31.002967227078287,90,180,0.0,3,13.564152119868147,51.62228503873111,0.6103868453940666,0.6103868453940666,1
21,71,21,4.87,0.0,0.0,3,4.0,-1.001,12.684030137590337,28.898357398277803,1.0,3.549999999999999,0.0,0.0,25.575548957390385,1119.4378617319283,1.0,0.0,['NA'],0.5620628406664945,0.5620628406664945,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.000538904569552774,-7.628391493093117e-06,False,0,-0.0033859733100474166,0.0001280971541686479,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.3248531943553612,655.161393416427,9.392475327043881,4.583424171899411,137.85521358455557,42.26883419128421,90,180,0.0,3,12.259290182972878,48.181354926345335,0.5516680582337795,0.5516680582337795,1
