dd,hr,Ts_C,P,u,prec,PPFD,VPD,O3,Tleaf,Leaf_f_phen
192,5,8.59,101.3,4,0,0.210625,0.08067225,1.224785714,8.59,0
192,6,10.57,101.3,4,0,0.5395,0.105234096,5.362214286,10.57,0
192,7,13.5575,101.3,4,0,1.007375,0.174728167,4.805642857,13.5575,0
192,8,15.0675,101.3,4,0,1.48275,0.334815831,9.230785714,15.0675,0
192,9,16.54,101.3,4,0,1.949,0.485027275,9.637142857,16.54,0
192,10,17.705,101.3,4,0,2.377875,0.591029354,11.10785714,17.705,0
192,11,19.6,101.3,4,0,2.50775,0.667691632,10.17214286,19.6,0
192,12,20.46,101.3,4,0,2.862375,0.744961553,11.74071429,20.46,0
192,13,20.955,101.3,4,0,3.110125,0.79956787,11.94,20.955,0
192,14,21.14,101.3,4,0,3.001,0.822684822,12.08071429,21.14,0
192,15,20.7675,101.3,4,0,2.539625,0.789973743,13.90214286,20.7675,0
192,16,17.9275,101.3,4,0,0.7645,0.576769313,15.66571429,17.9275,0
192,17,18.73,101.3,4,0,1.473375,0.617664728,17.88214286,18.73,0
192,18,17.65,101.3,4,0,0.900875,0.573338269,17.03642857,17.65,0
192,19,16.1275,101.3,4,0,0.474875,0.498568061,16.79142857,16.1275,0
192,20,14.36,101.3,4,0,0.328,0.337054993,11.61928571,14.36,0
192,21,12.8275,101.3,4,0,0.11525,0.232860409,9.392357143,12.8275,0
192,22,11.06,101.3,4,0,0,0.129479448,2.2555,11.06,0
192,23,10.54,101.3,4,0,0,0.110752278,1.745714286,10.54,0
193,0,10.62,101.3,4,0,0.00125,0.109425034,1.083714286,10.62,0
193,1,10.5625,101.3,4,0,0.00075,0.079364197,1.862928571,10.5625,0
193,2,10.24,101.3,4,0,0.0075,0.041176048,5.266571429,10.24,0
193,3,9.9375,101.3,4,0,0.0015,0.04157316,11.51257143,9.9375,0
193,4,10.0025,101.3,4,0,0.003375,0.043289766,12.39142857,10.0025,0
193,5,10.3325,101.3,4,0,0.02375,0.04739508,8.822857143,10.3325,0
193,6,10.7875,101.3,4,0,0.13425,0.053385246,9.449285714,10.7875,0
193,7,10.635,101.3,4,0,0.181,0.048041454,14.17857143,10.635,0
193,8,10.14,101.3,4,0,0.182,0.039042326,17.94785714,10.14,0
193,9,10.3975,101.3,4,0,0.249125,0.043187975,18.36142857,10.3975,0
193,10,11.0425,101.3,4,0,0.36925,0.054627512,15.58214286,11.0425,0
193,11,11.5425,101.3,4,0,0.360375,0.061911895,12.27728571,11.5425,0
193,12,12.04,101.3,4,0,0.323125,0.064683065,10.38357143,12.04,0
193,13,12.48,101.3,4,0,0.41525,0.077439034,10.50857143,12.48,0
193,14,12.7075,101.3,4,0,0.40575,0.099173028,11.67,12.7075,0
193,15,13.1625,101.3,4,0,0.69775,0.107089828,12.50071429,13.1625,0
193,16,14.065,101.3,4,0,0.964625,0.160120502,11.00064286,14.065,0
193,17,14.3325,101.3,4,0,0.8375,0.188235537,14.38785714,14.3325,0
193,18,14.49,101.3,4,0,0.756375,0.198412882,13.99571429,14.49,0
193,19,14.1125,101.3,4,0,0.41325,0.187584798,12.185,14.1125,0
193,20,13.565,101.3,4,0,0.168875,0.152670476,8.702714286,13.565,0
193,21,13.2025,101.3,4,0,0.02825,0.118751951,2.408428571,13.2025,0
193,22,12.6675,101.3,4,0,0.00075,0.144340068,8.097214286,12.6675,0
193,23,12.5925,101.3,4,0,0.003375,0.160400793,10.92714286,12.5925,0
194,0,12.5575,101.3,4,0,0.002125,0.142574634,7.118642857,12.5575,0
194,1,12.18,101.3,4,0,0.003375,0.093666033,3.304357143,12.18,0
194,2,11.9825,101.3,4,0,0.000125,0.080898106,7.710214286,11.9825,0
194,3,11.745,101.3,4,0,0.006,0.097567334,14.48285714,11.745,0
194,4,11.0725,101.3,4,0,0.008625,0.050779644,14.165,11.0725,0
194,5,10.7025,101.3,4,0,0.0125,0.033458921,11.66,10.7025,0
194,6,10.7475,101.3,4,0,0.046625,0.030009822,9.743142857,10.7475,0
194,7,10.7825,101.3,4,0,0.05575,0.027492336,9.396785714,10.7825,0
194,8,10.5625,101.3,4,0,0.0975,0.027092196,12.77714286,10.5625,0
194,9,11.8775,101.3,4,0,0.418875,0.034431279,11.27271429,11.8775,0
194,10,14.4625,101.3,4,0,1.424125,0.076177103,10.575,14.4625,0
194,11,16.5575,101.3,4,0,1.732625,0.179909535,11.12642857,16.5575,0
194,12,16.6975,101.3,4,0,1.87475,0.228084746,12.82642857,16.6975,0
194,13,17.9275,101.3,4,0,1.683125,0.292236633,11.63142857,17.9275,0
194,14,18.5325,101.3,4,0,2.159625,0.316349471,11.07357143,18.5325,0
194,15,19.0375,101.3,4,0,638.32475,0.39366179,11.24892857,19.0375,0
194,16,16.875,101.3,4,0,316.55,0.307078192,13.93857143,16.875,0
