,dd,hr,Ts_C,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref
55,73,7,2.36,101.18,5,3.67,24.20471429,,1069.088505550585,8.967499999999998,,,4.175480441011262,,1543.2093362509117,694.4442013129103,3173.61,259.02572787426766,435.41847343864265,0.09,0.8757363644921311,391.0,,,0.297,,-0.14000000000000004,0.7242665936190221,0.6342665936190222,True,0.12607927557554263,,,,,,
56,73,8,2.49,101.18,5,3.65,27.15121429,,1198.6657121115668,8.967499999999998,,,4.166039426145009,,1543.2093362509117,694.4442013129103,3173.61,411.6825545710347,282.7616467418756,0.18,0.7537660736589006,391.0,,,0.297,,0.03999999999999995,0.7310121829055035,0.5510121829055035,True,0.2691867169323821,,,,,,
57,73,9,3.17,101.18,5,4.2,28.79071429,,1267.918053996945,8.967499999999998,,,4.163975971949974,,1543.2093362509117,694.4442013129103,3173.61,467.5105306854678,226.9336706274425,0.21,0.7262805238957544,391.0,,,0.297,,0.24999999999999994,0.7672088336162889,0.5572088336162889,True,0.39080514587399307,,,,,,
58,73,10,4.0,101.18,5,3.07,26.63607143,,1169.5165023676643,8.967499999999998,,,4.166803497757761,,1543.2093362509117,694.4442013129103,3173.61,498.35647729444196,196.08772401846838,0.2,0.7541570172511126,391.0,,,0.297,,0.44999999999999996,0.8135273895707933,0.6135273895707933,True,0.4826464674519613,,,,,,
59,73,11,4.78,101.18,5,3.72,26.11285714,,1143.3258734548738,8.967499999999998,,,4.163201982146747,,1543.2093362509117,694.4442013129103,3173.61,515.038246146063,179.40595516684735,0.25,0.7090609529478024,391.0,,,0.297,,0.7,0.8592865156224537,0.6092865156224537,True,0.5384518473757084,,,,,,
60,73,12,5.59,101.18,5,3.93,26.03485714,,1136.598214711237,8.967499999999998,,,4.158788127576559,,1543.2093362509117,694.4442013129103,3173.61,519.6355080479419,174.80869326496835,0.31,0.6590384798716071,391.0,,,0.297,,1.01,0.9091935063031923,0.5991935063031923,True,0.5544182412261819,,,,,,
61,73,13,5.81,101.18,5,3.76,27.473,,1198.4370257581531,8.967499999999998,,,4.1594411818419905,,1543.2093362509117,694.4442013129103,3173.61,512.4187258684489,182.02547544446145,0.31,0.66420495500034,391.0,,,0.297,,1.32,0.9231821750089072,0.6131821750089073,True,0.5294575656481851,,,,,,
62,73,14,6.62,101.18,5,3.9,29.21878571,,1270.9020692490176,8.967499999999998,,,4.159776906951616,,1543.2093362509117,694.4442013129103,3173.61,492.9110585666654,201.5331427462449,0.33,0.6620011877952335,391.0,,,0.297,,1.6500000000000001,0.9763347919698588,0.6463347919698588,True,0.46527084943289226,,,,,,
63,73,15,5.88,101.18,5,3.46,26.29342857,,1146.6935970650354,8.967499999999998,,,4.16505887985932,,1543.2093362509117,694.4442013129103,3173.61,458.1015441496879,236.34265716322236,0.26,0.7197287419854401,391.0,,,0.297,,1.9100000000000001,0.9276727190716544,0.6676727190716544,True,0.36623231121681116,,,,,,
64,73,16,5.61,101.18,5,3.12,30.58507143,,1335.1501521559253,8.967499999999998,,,4.169561819685397,,1543.2093362509117,694.4442013129103,3173.61,392.2156192697042,302.22858204320613,0.21,0.7693467134227637,391.0,,,0.297,,2.12,0.910457436424517,0.7004574364245171,True,0.23909126371044515,,,,,,
