,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
20,71,20,5.76,0.0,0.0,3,3.0,-1.001,12.701908669196873,28.235540890769716,16.57018472096877,1.0956802973597892,1.0,|,2.935921558856081,0.0,0.0,26.666163804548912,1163.4494622353798,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.11414754380559,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,11.357008946791229,5.542094870062744,184.98575965557632,38.332349409956066,,,0.0,3,,,,0,0
21,71,21,4.87,0.0,0.0,3,3.0,-1.001,12.701908669196873,26.74769152790903,12.153751189966759,0.8036498048816633,1.0,|,2.1534135400700585,0.0,0.0,24.862088025374298,1088.2097859828611,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,18.81550331057571,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,15.48392205703368,7.555982865099631,193.2688593596333,52.26156933639082,,,0.0,3,,,,0,0
22,71,22,4.67,0.0,0.0,3,3.0,-1.001,12.701908669196873,27.135632508773597,6.4705886617006145,0.42785862851446316,1.0,|,1.1464652368260317,0.0,0.0,24.19798922422185,1059.9047496923044,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,25.786898719712198,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,29.08355730289394,14.192454587885548,219.11242213833077,98.16326515565467,,,0.0,3,,,,0,0
23,71,23,4.27,0.0,0.0,3,3.0,-1.001,12.701908669196873,27.1129609643528,4.484905368691961,0.2965580970126703,1.0,|,0.7946399260540221,0.0,0.0,23.480356846367897,1029.9543870752477,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,30.973791373046378,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,41.96024679577827,20.476136771834867,241.71010408661337,141.6248634688453,,,0.0,3,,,,0,0
24,72,0,4.18,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,27.71846092450076,1.335200834954095,0.08828828842361937,1.0,|,0.2365721917260065,0.0,0.0,21.333143928756225,936.0716193193335,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,56.76723131931212,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,140.94339308325527,68.77881838744536,371.7588988070503,475.71428498509584,,,0.0,3,,,,0,0
25,72,1,4.12,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,26.34725791290507,3.183940452582842,0.2105336108563231,1.0,|,0.5641336879620155,0.0,0.0,22.138294113743743,971.6108071504842,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,36.761103730307724,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,59.105293873623175,28.84273029150934,269.3115049516691,199.4930872518144,,,0.0,3,,,,0,0
26,72,2,4.01,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,27.563864235887124,1.9172114553187003,0.12677292696724832,1.0,|,0.3396934035040093,0.0,0.0,22.048905212543616,968.0717439015785,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,47.37355793409279,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,98.15700589726707,47.89953423411373,323.39725639318493,331.3010199003346,,,0.0,3,,,,0,0
27,72,3,3.69,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,29.008874188850463,0.7531902145894894,0.049803649879990405,1.0,|,0.13345097994800365,0.0,0.0,20.83506745341828,915.8347888185832,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,75.58205159558575,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,249.8541968294071,121.9260871413804,461.151164163472,843.3116870190336,,,0.0,3,,,,0,0
28,72,4,3.61,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,28.43950011201577,0.8901338899693967,0.058858858949079586,1.0,|,0.15771479448400436,0.0,0.0,20.867243005853116,917.5142498404637,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,69.5253754214275,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,211.41508962488288,103.16822758116803,433.9138073045056,713.5714274776436,,,0.0,3,,,,0,0
29,72,5,3.46,0.0,4.758333333333333,3,3.0,-1.001,12.771783880114013,28.194122134418215,1.0613134841942806,0.07017787028544104,1.0,|,0.18804456265400515,0.0,0.0,21.134381872159842,929.7640288512121,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,63.67209940320277,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,177.31588162086956,86.52819087452804,406.11104876298083,598.4792617554431,,,0.0,3,,,,0,0
