dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
331,13,11.68,0.35619999999999996,4.09,34.767678571428554,0.0,1.410752671,895.4360702777777
331,14,11.56,0.3644,4.13,37.568809523809485,0.0,1.028645644,652.90424875
331,15,10.87,0.3875,3.93,38.89684523809522,0.0,0.5467850122,347.0565980277778
331,16,8.64,0.5,2.39,36.39713095238092,0.0,0.096507386,61.25538249999999
331,17,5.4,0.6219,1.81,24.456190476190447,0.0,0.0,0.0
331,18,4.43,0.6419,1.94,13.383428571428562,0.0,0.0,0.0
331,19,3.44,0.6668999999999999,1.91,9.505732142857132,0.0,0.0,0.0
331,20,2.41,0.6931,1.76,10.97995833333332,0.0,0.0,0.0
331,21,1.47,0.7012,1.58,11.985803571428564,0.0,0.0,0.0
331,22,0.68,0.6912,1.44,10.763607142857136,0.0,0.0,0.0
331,23,0.08,0.6744,1.38,9.316827380952377,0.0,0.0,0.0
332,0,-0.42,0.665,1.42,6.593583333333328,0.0,0.0,0.0
332,1,-0.85,0.665,1.51,5.38933928571428,0.0,0.0,0.0
332,2,-1.17,0.6688,1.66,4.039249999999997,0.0,0.0,0.0
332,3,-1.43,0.6762,1.84,4.393642857142853,0.0,0.0,0.0
332,4,-1.69,0.6919,1.98,4.065898809523805,0.0,0.0,0.0
332,5,-2.09,0.7181000000000001,1.91,3.0787202380952357,0.0,0.0,0.0
332,6,-2.53,0.7456,1.73,2.4223749999999975,0.0,0.0,0.0
332,7,-1.2,0.705,1.98,3.732410714285711,0.0,0.2424519816,153.88966052777778
332,8,1.68,0.5881000000000001,2.95,9.15745238095237,0.0,0.7216074304,458.0202718055556
332,9,4.62,0.54,2.46,16.385083333333313,0.0,1.18994215,755.2827259444445
332,10,8.86,0.4181,2.91,22.125553571428544,0.0,1.527278407,969.3975446666666
332,11,10.69,0.34380000000000005,3.1,29.097261904761872,0.0,1.693106094,1074.652062611111
332,12,11.4,0.3181,3.16,33.35874999999997,0.0,1.395197872,885.563093472222
332,13,11.72,0.3025,3.21,34.767678571428554,0.0,1.201574434,762.6659949166667
332,14,11.46,0.3056,3.04,37.568809523809485,0.0,0.8476013056,537.99138425
332,15,10.54,0.3406,2.45,38.89684523809522,0.0,0.4318147552,274.082421
332,16,7.15,0.545,1.18,36.39713095238092,0.0,0.07912658796,50.223403749999996
332,17,4.55,0.5694,1.32,24.456190476190447,0.0,0.0,0.0
332,18,3.55,0.5931000000000001,1.35,13.383428571428562,0.0,0.0,0.0
332,19,2.67,0.6194,1.37,9.505732142857132,0.0,0.0,0.0
332,20,1.9,0.6469,1.36,10.97995833333332,0.0,0.0,0.0
332,21,1.29,0.6775,1.34,11.985803571428564,0.0,0.0,0.0
332,22,0.82,0.7162000000000001,1.32,10.763607142857136,0.0,0.0,0.0
332,23,0.41,0.7631,1.31,9.316827380952377,0.0,0.0,0.0
333,0,0.01,0.8056,1.31,6.593583333333328,0.0,0.0,0.0
