,g_sv,g_sv_per_layer,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,f_VPD,v_cmax,j_max
3725,,"[20000, 27323.65658505912, 20000.0]",0.7476347880127571,191.5389464692317,5.2904148383154,151.4260016767548,"['NA', 'A_j', 'A_j']",4.5427800503026425,2714.743714630039,1,43.264573378639724,157.63853106974645
3726,,"[20000, 230942.17417228225, 87482.40472704143]",50.80657509749933,228.29086323896394,59.50120693653834,219.3829290742898,"['NA', 'A_p', 'A_p']",6.581487872228692,2330.886151120373,1,62.68083900951703,202.6687786064271
3727,,"[20000, 294116.12851886783, 138769.88172127501]",76.11647739295952,190.83397467479517,88.41547434411083,167.3067085135998,"['NA', 'A_p', 'A_p']",5.019201255407994,2288.1383408384454,1,47.8019183434366,168.68780233612
3728,,"[20000, 353033.97353276296, 164798.55688460855]",91.93065645361807,207.67545031750555,107.38623512828072,191.6832406601212,"['NA', 'A_p', 'A_p']",5.750497219803638,2275.8919274664863,1,54.76664205067189,184.98670429935837
3729,,"[20000, 403103.410342508, 173649.41027493664]",100.94911141991733,230.6481549879479,117.85998760469553,228.01418763311722,"['NA', 'A_c', 'A_c']",6.840425628993516,2275.5147016359024,1,65.14691296731425,208.01641075430086
3730,,"[20000, 397595.638180164, 174621.28897277275]",101.33513051825119,227.15994550789864,119.99092699041648,222.38270479612902,"['NA', 'A_p', 'A_p']",6.671481143883872,2273.1967306213246,1,63.53791781632607,204.53560747376838
3731,,"[20000, 394510.18892124994, 170703.91481057112]",100.289566382316,228.89118792120632,119.99054390065544,225.1832212379785,"['NA', 'A_c', 'A_c']",6.755496637139354,2274.2599192001053,1,64.33806539834522,206.27044289675933
3732,,"[20000, 385444.5196806042, 150964.6042127124]",93.07396017361526,237.34340685434853,112.55898231246535,238.4116942576028,"['NA', 'A_c', 'A_c']",7.152350827728083,2287.7608675226165,1,68.11762924674305,214.36395726719732
3733,,"[20000, 375932.2771487692, 148625.22193816426]",92.24184261229716,233.2755143809843,111.27861965240464,231.83653623551498,"['NA', 'A_c', 'A_c']",6.955096087065449,2282.924327263023,1,66.23901260513072,210.36165914119238
3734,,"[20000, 374152.70840231585, 147100.37500579335]",92.50082567551891,234.92177335944604,110.77194036086374,235.22618449759165,"['NA', 'A_c', 'A_c']",7.056785534927748,2277.052447552217,1,67.20748357008063,212.42993060459185
3735,,"[20000, 387611.10910296673, 147905.41476201516]",95.10694024493728,249.0925164644609,113.1457270853204,261.75505287862796,"['NA', 'A_c', 'A_c']",7.85265158635884,2270.7990615986537,1,74.78716050808575,228.2624103815641
3736,,"[20000, 353951.064386634, 133030.58181803834]",87.54631427090159,240.4833028010738,102.82420417959467,245.90385162857552,"['NA', 'A_c', 'A_c']",7.3771155488572635,2268.8905537860633,1,70.2582457112305,218.87647675079756
3737,,"[20000, 309452.4112284058, 106257.94699269116]",73.43925464335967,245.42921506125296,86.06251151159927,253.59514689127917,"['NA', 'A_c', 'A_c']",7.607854406738376,2281.5736012260377,1,72.455758718147,223.45747251959511
3738,,"[20000, 225890.70538756938, 72787.51054721119]",50.72582751942001,246.65938003446917,60.108733626311135,252.04081753701502,"['NA', 'A_c', 'A_c']",7.5612245261104505,2316.656033414387,1,72.01166460182947,222.53582444618945
3739,,"[20000, 39791.30358273942, 20000.033122824465]",3.2819952455452204,269.1619562566272,11.023286231232795,258.04303285625247,"['NA', 'A_j', 'A_j']",7.741290985687574,2663.2362716971584,1,73.72658332277598,226.0835240370239
3740,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",7.646897783157342,0.0,1,72.82760041097023,224.22758556956148
3741,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",6.748460542316634,0.0,1,64.27105496918381,206.12544789980052
3742,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",7.2714872808458075,0.0,1,69.25226217215605,216.76207867760056
3743,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",6.998522052186762,0.0,1,66.65259323939544,211.24621426443554
3744,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",4.94674575670083,0.0,1,53.84212859302782,182.8654619110111
3745,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.563048629192575,0.0,1,60.55018680847247,197.98870945669051
3746,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.2441559829409545,0.0,1,57.079246575978715,190.23990171004442
3747,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.210961365545003,0.0,1,56.7179446319667,189.42407213014906
3748,,"[20000, 20000.0, 20000.0]",0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.0316854339223935,0.0,1,54.766642050671905,184.9867042993584
3749,,"[20000, 24890.48238657351, 20000.0]",-0.17749191890743088,200.67771792935466,4.940422516637933,170.59714785151215,"['NA', 'A_j', 'A_j']",5.117914435545365,2410.882688680777,1,55.705188970643164,187.1276611103612
3750,,"[20000, 247761.7969077577, 90543.16322470452]",49.23256666358439,225.27650157223303,58.18160872402433,239.0147544732015,"['NA', 'A_c', 'A_c']",7.1704426341960446,2021.4321662168918,1,78.04563108106821,234.88621464974
