mm,dd,hr,vd,NOT_EXIST
2,80,3,0.006228738,0.006228738
2,80,4,0.006331181,0.006331181
2,80,5,0.003557409,0.003557409
2,80,6,0.003815111,0.003815111
2,80,7,0.008289338,0.008289338
2,80,8,0.010217899,0.010217899
2,80,9,0.008706907,0.008706907
2,80,10,0.00985365,0.00985365
2,80,11,0.010906788,0.010906788
2,80,12,0.008922023,0.008922023
2,80,13,0.01158478,0.01158478
2,80,14,0.014825884,0.014825884
2,80,15,0.012707691,0.012707691
2,80,16,0.012562067,0.012562067
2,80,17,0.011889162,0.011889162
2,80,18,0.008266206,0.008266206
2,80,19,0.007700365,0.007700365
2,80,20,0.007142886,0.007142886
2,80,21,0.010384565,0.010384565
2,80,22,0.009789282,0.009789282
2,80,23,0.003603778,0.003603778
2,81,0,0.009476237,0.009476237
2,81,1,0.004568998,0.004568998
2,81,2,0.00790485,0.00790485
2,81,3,0.002564036,0.002564036
2,81,4,0.007557224,0.007557224
2,81,5,0.002873982,0.002873982
2,81,6,0.00072604,0.00072604
2,81,7,0.007256856,0.007256856
2,81,8,0.007386401,0.007386401
2,81,9,0.007058827,0.007058827
2,81,10,0.012395587,0.012395587
2,81,11,0.010896415,0.010896415
2,81,12,0.012160501,0.012160501
2,81,13,0.011579023,0.011579023
2,81,14,0.007492322,0.007492322
2,81,15,0.008839375,0.008839375
2,81,16,0.014091906,0.014091906
2,81,17,0.010852335,0.010852335
2,81,18,0.007932975,0.007932975
2,81,19,0.011260963,0.011260963
2,81,20,0.010315745,0.010315745
2,81,21,0.007499128,0.007499128
2,81,22,0.011960789,0.011960789
2,81,23,0.013328878,0.013328878
2,82,0,0.013314206,0.013314206
2,82,1,0.013489405,0.013489405
2,82,2,0.015332077,0.015332077
2,82,3,0.012296467,0.012296467
2,82,4,0.009587077,0.009587077
2,82,5,0.008670334,0.008670334
2,82,6,0.01407098,0.01407098
2,82,7,0.009168173,0.009168173
2,82,8,0.00963613,0.00963613
2,82,9,0.009628012,0.009628012
2,82,10,0.012288235,0.012288235
2,82,11,0.014368857,0.014368857
2,82,12,0.011853872,0.011853872
