,g_sv_per_layer,g_sv_sunlit,A_n,A_n_sunlit,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,c_i_sunlit,f_VPD,v_cmax,j_max,f_VPD_alt,loop_iterations
3257,"[20000, np.float64(284630.7544848828), np.float64(99703.93156606768)]",504082.47746199375,74.97187866058141,30.835016367895825,257.85386571820345,88.66433712106218,269.66321782128057,"['NA', 'A_c', 'A_c']",8.089896534638418,2670.2582948199793,309.70922048640307,"[1.0, np.float64(0.6621634054095845), np.float64(0.6621386855746562)]",66.58350938944886,211.09859592567753,"[1.0, np.float64(0.6894279801480553), np.float64(0.6723944160619969)]",1
3258,"[20000, np.float64(176839.62477394144), np.float64(66920.09111471292)]",399739.77733852505,45.91022305210306,25.04853115480967,222.04367377640568,55.3262758312617,209.1681504752029,"['NA', 'A_p', 'A_p']",6.275044514256087,2717.275359513155,311.12807669376286,"[1.0, np.float64(0.6519948226524591), np.float64(0.6519728768959779)]",51.64645598929829,177.7772358213307,"[1.0, np.float64(0.6706608827660827), np.float64(0.6594119564183902)]",1
3259,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,-6.415935933964945,-0.8107147283973342,236.38195444613046,0.5781067068500547,233.13475469383334,"['NA', 'A_j', 'A_j']",6.994042640815,3492.624045195458,432.1330622620268,"[1.0, np.float64(0.653671316950904), np.float64(0.6536573595621727)]",57.56413593807791,191.33200557249722,"[1.0, np.float64(0.6560669440230953), np.float64(0.6560669440230953)]",1
3260,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",6.61886223076535,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",54.476231383511845,184.3217002816272,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3261,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.3957057631771,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",44.40910014200365,160.46063622898538,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3262,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.966469165121733,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",49.106741226758615,171.7994043314706,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3263,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.677698751653832,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",46.73003004705323,166.11032272728238,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3264,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",4.907591986819722,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",38.94914342023708,146.76709216140995,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3265,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.3570746267962885,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",42.51646602088775,155.7805103719656,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3266,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.127855946632475,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",40.69727011538555,151.21654989765895,"[1.0, np.float64(1.0), np.float64(1.0)]",0
