,dd,hr,Ts_C,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref
10,100,10,11.49,93.91,0.007,0.94,44.454,,1763.9373095872058,-11.434166666666671,,,4.839620160879644,,1763.8444444444444,793.73,3627.3461,647.5307379771896,146.19926202281044,0.0366,0.9730194286628568,391.0,,,,,0.16996,1.3565316887716952,1.3199316887716952,True,0.7090948341535799,,,,,,
11,100,11,12.91,93.9,0.007,0.98,48.137,,1900.3949594620708,-11.434166666666671,,,5.4402100238456,,1970.2888888888888,886.63,4051.8991,753.2395880020053,133.3904119979946,0.03602,0.9758167955319008,391.0,,,,,0.20598,1.4894634847716317,1.4534434847716318,True,0.7972075539721463,,,,,,
12,100,12,15.75,93.76,0.02,1.02,50.745,,1980.704575986706,-11.434166666666671,,,5.50618905066414,,1995.3555555555554,897.91,4103.4487,776.6497623160886,121.2602376839113,0.29727,0.8339310819806165,391.0,,,,,0.50325,1.7900399638016715,1.4927699638016716,True,0.8367011173659888,,,,,,
13,100,13,14.81,93.85,0.02,0.97,51.671,,2025.3746498998655,-11.434166666666671,,,5.3727904206337325,,1945.2222222222222,875.35,4000.3495000000003,753.0553069980393,122.2946930019607,0.09297,0.944829804866595,391.0,,,,,0.59622,1.6851490152462336,1.5921790152462336,True,0.8248841032560165,,,,,,
14,100,14,15.29,93.81,0.02,0.93,51.435,,2011.911089760148,-11.434166666666671,,,4.868003285921352,,1771.0666666666666,796.98,3642.1986,666.5333783787404,130.4466216212596,0.16725,0.9037696119290958,391.0,,,,,0.76347,1.7380164764249646,1.5707664764249647,True,0.762561821625285,,,,,,
15,100,15,14.49,93.79,0.071,0.88,50.422,,1977.3507597667995,-11.434166666666671,,,4.07182367112005,,1498.0666666666666,674.13,3080.7741,535.8155877119748,138.31441228802518,0.23601,0.8570236423016313,391.0,,,,,0.9994799999999999,1.6506924906976623,1.4146824906976623,True,0.6539814329744882,,,,,,
16,100,16,15.33,93.77,0.071,0.84,48.438,,1893.611143885019,-11.434166666666671,,,2.9651393883889314,,1112.5555555555554,500.65,2287.9705,368.6038394939777,132.04616050602226,0.24948,0.8568253327576156,391.0,,,,,1.2489599999999998,1.7424870251498348,1.4930070251498349,True,0.506542511352602,,,,,,
17,100,17,14.91,93.78,0.071,0.77,45.389,,1777.191706468387,-11.434166666666671,,,1.645371594623325,,655.0666666666666,294.78,1347.1445999999999,191.46291099607845,103.31708900392154,0.24724,0.8542255871650337,391.0,,,,,1.4961999999999998,1.6960452468424931,1.4488052468424932,True,0.33029277561381926,,,,,,
18,100,18,10.06,93.92,0.277,0.49,41.221,,1644.0855582219338,-11.434166666666671,,,0.20390038994439869,,158.3111111111111,71.24,325.5668,30.438146052637176,40.80185394736282,0.11226,0.9089768209106079,391.0,,,,,1.6084599999999998,1.233312230171083,1.121052230171083,True,0.1372433539822784,,,,,,
19,100,19,13.0,93.82,0.277,0.43,38.987,,1537.3681791464185,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.18986,0.8732797837432105,391.0,,,,,1.6084599999999998,1.498261331998219,1.308401331998219,False,0.0,,,,,,
