,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,f_LS,f_LA,c_i,td_dd,td_dd_flag,o3_ppb,o3_nmol_m3,o3_ppb_i,canopy_height,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
3172,203,4,16.33,0.44638949671772427,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,0.31487009035135644,0.31486885964285927,-0.6324257205699968,['A_c'],0.6585370457694785,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.01503930557735969,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,423.06020065182076,1792.0712499999986,1022.0712499999986,32.8145,1379.4256382285246,32.8145,0.11211967779031387,8.451096740512282,17.227945392215435,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.6885507836528,0.02378035093798046,42.16171470466645,123.68045790329592,0.6324257205699968,0.01503930557735969,1
3173,203,5,16.36,1.2582056892778992,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,0.9021768925143763,0.8875295156278322,-0.634320636807633,['A_c'],0.6452249834915056,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.015084367350488757,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,423.1562675333511,1792.0712499999986,1022.0712499999986,32.1545,1351.5411021619557,32.1545,0.11211967779031387,8.451096740512282,17.230268202156005,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9622031856335532,0.02378035093798046,42.2880424538422,123.92768582933132,0.634320636807633,0.015084367350488757,1
3174,203,6,15.88,5.98687089715536,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,4.277650248744117,4.227695684521399,-0.6045481439612104,['A_c'],0.6174031751577059,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.014376367022302316,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,421.64699061429747,1792.0712499999986,1022.0712499999986,30.717,1293.2632634829188,30.717,0.11211967779031387,8.451096740512282,17.232490853586572,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9804497698298357,0.02378035093798046,40.303209597414025,120.00965432542974,0.6045481439612104,0.014376367022302316,1
3175,203,7,15.9,15.781181619256017,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,11.256746517289756,11.15602385872749,-0.6057654959055204,['A_c'],0.7332675347599685,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.01440531607875304,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,421.7087604571523,1792.0712499999986,1022.0712499999986,36.484,1535.9622418001352,36.484,0.11211967779031387,8.451096740512282,17.235130616711707,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.986767729149681,0.02378035093798046,40.38436639370136,120.17128485973849,0.6057654959055204,0.01440531607875304,1
3176,203,8,16.33,19.161925601750543,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,13.657527338535218,13.555705289672398,-0.6324257205699968,['A_c'],0.8403173124375652,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.01503930557735969,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,423.06030924870635,1792.0712499999986,1022.0712499999986,41.8725,1760.1974747969307,41.8725,0.11211967779031387,8.451096740512282,17.238155759036484,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9898021021372647,0.02378035093798046,42.16171470466645,123.68045790329592,0.6324257205699968,0.01503930557735969,1
3177,203,9,16.51,29.30853391684901,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,20.880546677727246,20.7425964176021,-0.6438638596267839,['A_c'],0.892893400642865,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.01531130853820751,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,423.6399823170228,1792.0712499999986,1022.0712499999986,44.52,1870.3276557701395,44.52,0.11211967779031387,8.451096740512282,17.2413701752788,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9914586453246041,0.02378035093798046,42.92425730845226,125.16844136486462,0.6438638596267839,0.01531130853820751,1
3178,203,10,17.05,34.34792122538293,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,24.46459511414455,24.31467695392446,-0.6791714575434333,['A_c'],0.8606633833083263,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.01615093560744254,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,425.42994118936684,1792.0712499999986,1022.0712499999986,42.993,1802.816021432448,42.993,0.11211967779031387,8.451096740512282,17.24446856345871,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9923856371285423,0.02378035093798046,45.27809716956222,129.69731833991347,0.6791714575434333,0.01615093560744254,1
3179,203,11,18.8,78.84901531728664,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,56.1531473862499,55.82243273867731,-0.8039027683721932,['A_c'],0.8630858157818833,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.019117089951904774,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,431.7539992760813,1792.0712499999986,1022.0712499999986,43.374,1807.890246918119,43.374,0.11211967779031387,8.451096740512282,17.247575672395524,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9928493774159727,0.02378035093798046,53.59351789147955,144.97031595309403,0.8039027683721932,0.019117089951904774,1
3180,203,12,23.0,241.75711159737415,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,160.0824414430447,125.63965215754668,-1.161827048813085,['A_c'],0.8177230914855814,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.027628654950013317,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,449.89889672622843,1792.0712499999986,1022.0712499999986,41.6855,1712.8697688505647,41.6855,0.11211967779031387,8.451096740512282,17.25051947552487,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,1.0,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.992960157374467,0.02378035093798046,77.455136587539,183.2096469827091,1.161827048813085,0.027628654950013317,1
3181,203,13,24.6,136.4507658643326,1792.0712499999986,0.02378035093798046,4.28571414947509,1.5850129585326949,17.33436025114454,95.52175186933223,89.75425725861099,-1.3122156860134824,['A_c'],0.8257770118585624,625.2757488112027,[1965.484180249281],20.86,20.86,0.49605812056627235,0.49605812056627235,-0.03120494951972339,0.000594334812324047,0.0009075164744555578,0.0004466685773641492,0.005233004336818422,0.00012476021436160517,0.0,0.0,1.0,0.9787627346668508,0.0,0.29439599802371685,457.5225761169986,1792.0712499999986,1022.0712499999986,42.3235,1729.7401701774324,42.3235,0.11211967779031387,8.451096740512282,17.253492272767563,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48795305023923613,0.7448626336898407,1.0,1.0,1.0,0.8663500000000001,1.0,1.0,0.05438083075303762,82651.60532640143,0,111.66368867741724,207.6577035841333,123.70499605123696,90.0,200.0,0.9927421988967992,0.02378035093798046,87.48104573423217,196.83203810797826,1.3122156860134824,0.03120494951972339,1
