,dd,ts_c,par,td,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,f_LS,f_LA,c_i,td_dd,td_dd_flag,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves,f_LS_0,f_LS_1,f_LS_2,fO3_d_0,fO3_d_1,fO3_d_2,fO3_h_0,fO3_h_1,fO3_h_2,O3up_0,O3up_1,O3up_2,leaf_pop_distribution_0_0,leaf_pop_distribution_0_1,leaf_pop_distribution_0_2,leaf_pop_distribution_1_0,leaf_pop_distribution_1_1,leaf_pop_distribution_1_2,leaf_pop_distribution_2_0,leaf_pop_distribution_2_1,leaf_pop_distribution_2_2,leaf_pop_distribution_3_0,leaf_pop_distribution_3_1,leaf_pop_distribution_3_2,growing_populations_0,growing_populations_1,growing_populations_2,layer_lai_0,layer_lai_1,layer_lai_2,layer_lai_3
1186,120,8.71,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,438.2761516746299,106.67212091119632,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,231.87452638818547,56.93061947249087,56.93061947249087,2.2461166188407784,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,6.963921646865995e-05,0.000345159274572348,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,15.236364370410072,657.8077241718864,0.10326097950718599,27.34487396654695,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21310604721813367,720.1748440452398,84.52272792567861,28.49456519181216,587.6061654337913,9.594130978152997,90.0,200.0,0.9200651296447396,0.24552338870196658,,,0.0,0.06946752429404468,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.509263533497429,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1187,120,8.96,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,416.078006005511,97.56407993088986,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,238.1055555292341,58.46048286230183,58.46048286230183,2.3088285893132046,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,7.15835556228573e-05,0.0004167428301952053,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,14.278647007854158,615.9133855204395,0.10326097950718599,26.877746719330272,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19281023319735902,701.3284528725437,93.4198571810132,31.493993106739758,579.179479926472,10.604039502169103,90.0,200.0,0.9246300324127716,0.24552338870196658,,,0.0,0.07140706977257333,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.3530758406802397,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1188,120,9.77,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,412.6590223458825,96.09927967564286,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,258.883446712267,63.561941115640785,63.561941115640785,2.5231323561469137,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,7.822788846087537e-05,0.0004949707186560807,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,15.528292125008472,667.8994864087344,0.10326097950718599,26.696583564853164,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2459375110752691,645.0400865733011,73.23935405210501,24.69067906183724,537.4346098364277,8.313361066020923,90.0,200.0,0.925314943769492,0.24552338870196658,,,0.0,0.07803502132413134,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.815084886218971,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1189,120,10.28,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,427.62221843719277,102.38571197366385,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,273.13697849856396,67.0615165407836,67.0615165407836,2.667166646208512,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,8.269356714397335e-05,0.0005776642858000541,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,15.967976489622613,685.5752552890156,0.10326097950718599,28.22388590526633,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23459573265189504,611.3789564401778,76.78018796302104,25.88437601393624,517.1287446681446,8.715279285497761,90.0,200.0,0.9222811560623053,0.24552338870196658,,,0.0,0.08248969008892305,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.9726711591442254,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1190,120,10.63,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,462.8345763120461,116.00006217881361,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,283.2986173981127,69.55643655816654,69.55643655816654,2.7702698895452254,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,8.589020841411895e-05,0.0006635544942141731,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,17.09709910650392,733.1480961406203,0.10326097950718599,30.016989658297703,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24175896112981554,589.4494029422248,74.50521943078336,25.117431539449235,502.1032355316306,8.457048788149677,90.0,200.0,0.9147893469741968,0.24552338870196658,,,0.0,0.08567845019212036,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3.2747544098090957,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1191,120,11.09,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,524.042689255538,136.42410603484527,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,297.4700159397251,73.03584635074932,73.03584635074932,2.911230397956677,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,9.026058672682814e-05,0.0007538150809410012,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,14.551622838372497,622.9845863207113,0.10326097950718599,27.106431014706782,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2148968543376138,561.3681780738254,83.81837185963128,28.25711048188039,486.68627141592333,9.514179886668387,90.0,200.0,0.9007264881896645,0.24552338870196658,,,0.0,0.09003805354505186,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.811722223560642,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1192,120,11.12,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,625.9735584810799,164.23992054705457,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,298.5683099668858,73.30550322208894,73.30550322208894,2.920643289542519,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,9.055242660248018e-05,0.0008443675075434814,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,16.20378177650794,693.6436622623148,0.10326097950718599,31.60759442669852,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19460104031683917,559.3031654906583,92.56016524376459,31.20417108428509,488.25528308233044,10.506456316566318,90.0,200.0,0.8749012135944622,0.24552338870196658,,,0.0,0.09032917390337687,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3.078736563403053,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1193,120,11.03,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,806.8151262680825,204.87570990966753,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,295.910971103592,72.6530643794436,72.6530643794436,2.8924861809659586,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,8.967943587579807e-05,0.0009340469434192794,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,15.616056303109687,668.6963036538251,0.10326097950718599,31.738060825518463,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17788684053502477,564.3258181908222,101.25709352170223,34.13610662240584,494.5357603087101,11.493640131545703,90.0,200.0,0.8227322296392084,0.24552338870196658,,,0.0,0.08945833549379252,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.8995830779088076,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1194,120,10.2,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,1139.7965884272273,291.1767123997474,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,271.3490360516565,66.6225348524148,66.6225348524148,2.6440921433469073,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,8.197815892063928e-05,0.0010160251023399187,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,15.78927398260255,678.094169579218,0.10326097950718599,32.926323875554026,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16296344787269046,615.4073856665019,110.52972113357973,37.26212371236975,531.1039471749242,12.546171279123149,90.0,200.0,0.686168229886102,0.24552338870196658,,,0.0,0.0817760456705229,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2.7371200992888074,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1195,120,9.13,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,489.6311136144768,489.6311136144768,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,243.08234177523215,59.68240028626461,59.68240028626461,2.3523806979206494,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,7.293385715820044e-05,0.001088958959498119,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,12.900609566990363,556.1362308921251,0.10326097950718599,32.50153865380563,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10864229858179364,686.969689612765,165.79458170036958,55.89318556855462,594.78259817561,18.819256918684722,90.0,200.0,0.027512419744852083,0.24552338870196658,,,0.0,0.07275404220373141,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.932271605649796,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1196,120,6.41,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,20.86,5.121617888323023,5.121617888323023,-0.05375898778228528,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,0.0,0.001088958959498119,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,8.813263198160849,383.63018792674694,0.10326097950718599,28.82167517624377,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03641307809609567,8005.282880137838,494.6658011388076,166.7632749750318,2071.824512134407,56.14925834755115,90.0,200.0,0.0,0.24552338870196658,,,0.0,0.05375898778228528,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.16638708195718832,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
1197,120,2.59,694.4442013129103,330.3295833333333,0.24552338870196658,5.657142677307118,0.29134818580542243,16.13079727325653,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,20.86,5.121617888323023,5.121617888323023,-0.03472573881958783,0.00520109953068303,0.000738738130433724,0.004264509920485921,5.639023231413167e-09,0.000492492086955816,0.0,0.001088958959498119,1,1.0,1.0,1.0,0.0,222.8241666666666,0.0,5.450515403493134,240.54086389633005,0.10326097950718599,27.901584453333275,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676654040404039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014923392662334292,8005.282880137838,1206.9845547786904,406.9023909390776,2311.963628098453,137.00419036802478,90.0,200.0,0.0,0.24552338870196658,,,0.0,0.03472573881958783,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.10432675450143096,0.0,0.0,0.24552338870196658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.24552338870196658,0.0,0.0,0.0
