,date,dd,hr,Ts_C,Ts_K,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref,ustar
1050,24/04/2015,114,18,10.17,,101.18,5,4.48,31.78157143,,1365.0520142789442,292.91041666666666,,,0.08811620324517082,,34.80671043034281,15.663019693654265,71.58,0.9981831210729959,14.664836572581269,-0.21,1.1690238489697005,391.0,,,0.297,,-0.28,1.2424282211065076,1.4524282211065076,False,0.11385536143045408,,,,,,,
1051,24/04/2015,114,19,10.09,,101.18,5,4.97,31.10035714,,1336.1704314240949,292.91041666666666,,,0.0,,21.813761244833454,9.816192560175054,44.86,0.0,0.0,-0.22,1.1780234057601608,391.0,,,0.297,,-0.28,1.235792558066165,1.455792558066165,False,0.0,,,,,,,
1052,24/04/2015,114,20,9.94,,101.18,5,4.7,27.71071429,,1191.1714028208364,292.91041666666666,,,0.0,,1.5803549720398733,0.711159737417943,3.25,0.0,0.0,-0.22,1.1798216214991013,391.0,,,0.297,,-0.28,1.2234346357570764,1.4434346357570764,False,0.0,,,,,,,
1053,24/04/2015,114,21,9.82,,101.18,5,4.94,26.10742857,,1122.7285589382811,292.91041666666666,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.22,1.1812748556752466,391.0,,,0.297,,-0.28,1.2136266730457606,1.4336266730457605,False,0.0,,,,,,,
1054,24/04/2015,114,22,9.33,,101.18,5,5.73,26.09778571,,1124.2606817928893,292.91041666666666,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.170315481313981,391.0,,,0.297,,-0.28,1.1742913706787148,1.3742913706787148,False,0.0,,,,,,,
1055,24/04/2015,114,23,9.06,,101.18,5,5.46,25.79321429,,1112.2031835297817,292.91041666666666,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.1734455392301824,391.0,,,0.297,,-0.28,1.1530997043087792,1.3530997043087791,False,0.0,,,,,,,
1056,25/04/2015,115,0,9.0,,101.18,5,5.33,25.123,,1083.5339165554296,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.174149826935656,391.0,,,0.297,,0.0,1.148436398239401,1.348436398239401,False,0.0,,,,,,,
1057,25/04/2015,115,1,9.06,,101.18,5,5.6,24.77342857,,1068.230031849266,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.1734455392301824,391.0,,,0.297,,0.0,1.1530997043087792,1.3530997043087791,False,0.0,,,,,,,
1058,25/04/2015,115,2,9.04,,101.18,5,5.41,25.40285714,,1095.4486200799156,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.1736799466626429,391.0,,,0.297,,0.0,1.1515434213512359,1.3515434213512358,False,0.0,,,,,,,
1059,25/04/2015,115,3,9.16,,101.18,5,5.44,25.46164286,,1097.5169254611521,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.2,1.1722788054986122,391.0,,,0.297,,0.0,1.1609089082151263,1.3609089082151262,False,0.0,,,,,,,
1060,25/04/2015,115,4,9.27,,101.18,5,4.98,25.21907143,,1086.637552198016,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.21,1.1795558196920222,391.0,,,0.297,,0.0,1.169552734966744,1.379552734966744,False,0.0,,,,,,,
1061,25/04/2015,115,5,9.22,,101.18,5,4.74,25.25185714,,1088.2428844533536,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.21,1.1801621362042238,391.0,,,0.297,,0.0,1.1656167295993503,1.3756167295993502,False,0.06340360177680543,,,,,,,
