,t_l_estimate,t_lse_constant,t_lma,t_lem,t_lep,t_lse,gamma_1,gamma_2,gamma_3,g_sto_0,m,V_cmax_25,J_max_25,PARsun,PARshade,LAI,D_0,g_bv,td_dd,fO3_d_prev,O3up_acc,Tleaf_C,O3up,eact,sinB,c_a,is_daylight
7806,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1983138.42179511,3187.345416666667,1.0,71.76625728444685,6.25,0.0,0.23290999999999998,0.0,391.0,False
7807,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,2036891.7497009994,3187.345416666667,1.0,71.76625728444685,5.53,0.0,0.19784000000000002,0.0,391.0,False
7808,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,256.15069146756593,83.25506969887371,0.0,2.27,2109846.9138778765,3187.345416666667,1.0,71.76625728444685,5.87,0.0,0.22926999999999997,0.1298355986119137,391.0,True
7809,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,408.7131530806272,131.53709502465458,0.0,2.27,2130232.381689847,3187.345416666667,1.0,71.76625728444685,9.0,0.0,0.46101000000000003,0.27792254248467674,391.0,True
7810,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,466.50987231188856,155.68143815730642,0.0,2.27,2239037.293123989,3187.345416666667,1.0,71.76625728444685,7.15,0.0,0.36382,0.39170153766499616,391.0,True
7811,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,489.20788297113154,165.0425832292321,0.0,2.27,2305604.9097796436,3187.345416666667,1.0,71.76625728444685,8.07,0.0,0.46805,0.46341873366001307,391.0,True
7812,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,488.4079522514768,165.03432997274996,0.0,2.27,2352000.0,3187.345416666667,1.0,71.76625728444685,9.09,0.0,0.58387,0.48818672208093705,391.0,True
7813,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,470.7536970527334,158.8753019227646,0.0,2.27,2267805.547219602,3187.345416666667,1.0,71.76625728444685,9.02,0.0,0.60861,0.46431760544791856,391.0,True
7814,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,428.54524750643253,143.16410724078543,0.0,2.27,2200094.5434230776,3187.345416666667,1.0,71.76625728444685,9.05,0.0,0.6402399999999999,0.3934380246139173,391.0,True
7815,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,344.6795940175306,111.12323818880594,0.0,2.27,2160449.953134763,3187.345416666667,1.0,71.76625728444685,6.13,0.0,0.45888,0.2803783058787249,391.0,True
7816,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,145.84201521107553,47.37223327604906,0.0,2.27,2057999.9999999998,3187.345416666667,1.0,71.76625728444685,8.1,0.0,0.60826,0.13284328223412542,391.0,True
7817,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1927886.926144788,3187.345416666667,1.0,71.76625728444685,7.11,0.0,0.54905,0.0,391.0,False
7818,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1229890.239005091,3187.345416666667,1.0,71.76625728444685,4.29,0.0,0.35369,0.0,391.0,False
7819,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1176000.0,3187.345416666667,1.0,71.76625728444685,5.51,0.0,0.40423000000000003,0.0,391.0,False
7820,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1119518.6465619945,3187.345416666667,1.0,71.76625728444685,4.89,0.0,0.34407,0.0,391.0,False
7821,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1039446.9683442248,3187.345416666667,1.0,71.76625728444685,2.73,0.0,0.20187,0.0,391.0,False
7822,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1039446.9683442248,3187.345416666667,1.0,71.76625728444685,3.76,0.0,0.25048000000000004,0.0,391.0,False
7823,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1060032.0749864127,3187.345416666667,1.0,71.76625728444685,3.24,0.0,0.21339,0.0,391.0,False
7824,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1080224.9765673815,3192.940833333334,1.0,71.76625728444685,1.33,0.0,0.10636,0.0,391.0,False
7825,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,997002.5075194143,3192.940833333334,1.0,71.76625728444685,2.25,0.0,0.14962999999999999,0.0,391.0,False
7826,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,906168.8584364394,3192.940833333334,1.0,71.76625728444685,1.79,0.0,0.12365,0.0,391.0,False
7827,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,831557.5746753799,3192.940833333334,1.0,71.76625728444685,0.29,0.0,0.05185,0.0,391.0,False
7828,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,509222.93742524984,3192.940833333334,1.0,71.76625728444685,0.98,0.0,0.07391,0.0,391.0,False
7829,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,207889.39366884498,3192.940833333334,1.0,71.76625728444685,0.64,0.0,0.0279,0.0,391.0,False
7830,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,623668.1810065348,3192.940833333334,1.0,71.76625728444685,2.53,0.0,0.15366,0.0,391.0,False
7831,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,550023.6358557694,3192.940833333334,1.0,71.76625728444685,1.03,0.0,0.07167000000000001,0.0,391.0,False
7832,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,249.28845126513565,82.16914494936358,0.0,2.27,464854.8160447518,3192.940833333334,1.0,71.76625728444685,1.78,0.0,0.10026,0.12661543121522098,391.0,True
7833,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,401.9398923396735,129.5207490481976,0.0,2.27,464854.8160447518,3192.940833333334,1.0,71.76625728444685,9.49,0.0,0.58727,0.2746396919816507,391.0,True
7834,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,460.23092741789236,153.85161606833395,0.0,2.27,1138657.1037849807,3192.940833333334,1.0,71.76625728444685,4.85,0.0,0.27326,0.3884381547084146,391.0,True
7835,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,483.3973607575241,163.38104859248895,0.0,2.27,1484627.2259392252,3192.940833333334,1.0,71.76625728444685,7.17,0.0,0.43714,0.46025564222153503,391.0,True
7836,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,478.44309755427895,161.7420928850633,0.0,2.27,1726858.998297197,3192.940833333334,1.0,71.76625728444685,11.4,0.0,0.7892600000000001,0.48519791143100255,391.0,True
7837,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,460.68693885341423,155.68271930290018,0.0,2.27,1726858.998297197,3192.940833333334,1.0,71.76625728444685,10.15,0.0,0.6872,0.46156518790924095,391.0,True
7838,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,419.1556712143115,140.11721127866014,0.0,2.27,1714299.8570845183,3192.940833333334,1.0,71.76625728444685,10.79,0.0,0.74987,0.39096800270933574,391.0,True
7839,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,342.27107897388595,110.27200379165343,0.0,2.27,1701648.024710163,3192.940833333334,1.0,71.76625728444685,8.31,0.0,0.5572199999999999,0.2782174373352959,391.0,True
