,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
4342,14.42,16415.92095247026,1.0,-0.20984927332963266,38.58945932991385,0.0,34.73339560313019,A_j,0.20984927332963266,1,1.0,1.0,412.017560089159,-0.0
4343,13.35,16734.754170704797,1.0,-0.19317635958161553,35.86361199057929,0.0,31.07920607477668,A_j,0.19317635958161553,1,1.0,1.0,409.9889374030562,-0.0
4344,11.39,17233.437028541786,1.0,-0.1657272522887861,31.0868170090818,0.0,25.24876604646966,A_j,0.1657272522887861,1,1.0,1.0,406.7991118222575,-0.0
4345,11.99,17104.806337574297,1.0,-0.17372672695507155,32.521904485776545,0.0,26.921064296513904,A_j,0.17372672695507155,1,1.0,1.0,407.9112966429609,-0.0
4346,11.69,17183.814505250273,1.0,-0.16968406702531105,31.80798100013913,0.0,26.072974648653563,A_j,0.16968406702531105,1,1.0,1.0,407.5898799136452,-0.0
4347,11.89,17154.848190837667,1.0,-0.17236953297635618,32.275908385426085,0.0,26.635682526523816,A_j,0.17236953297635618,1,1.0,1.0,407.5843189110758,-0.0
4348,11.55,17209.33980546824,1.0,-0.16782697088297155,31.485767394355488,0.0,25.685403445158936,A_j,0.16782697088297155,1,1.0,1.0,407.70907092089374,-0.0
4349,11.72,40895.61611809117,1.0,1.2188981693987695,29.345350084875328,1.388982612100287,26.156700469888897,A_j,0.17008444270151768,1,1.0,1.0,337.6316528733763,0.0
4350,21.28,516824.9739066106,1.0,20.220486090460724,39.120296622940856,20.57221230530999,67.10539539842966,A_j,0.35172621484926303,1,1.0,1.0,261.7735961452107,0.0
4351,15.03,608209.3460640052,1.0,30.076314833428253,32.61273421098828,30.296245013623363,36.976390520158084,A_j,0.21993018019510854,1,1.0,1.0,282.65500318357584,0.0
4352,18.16,692185.5168617377,1.0,33.938874567862605,37.90110318119211,34.217808714388,50.43074518930267,A_j,0.27893414652539195,1,1.0,1.0,285.0187465267032,0.0
4353,24.37,691578.5599902425,1.0,32.87849699289738,44.621724850392724,33.31890760669053,86.03114999780861,A_j,0.4404106137931511,1,1.0,1.0,291.43237068232037,0.0
4354,22.32,635273.5018903218,1.0,30.983979762219978,43.60329433677688,31.363556697708333,73.28871532539007,A_j,0.379576935488356,1,1.0,1.0,291.67546040830536,0.0
4355,23.35,555054.5837868407,1.0,27.160126325800768,44.67877450400826,27.56924362170216,79.62853134108995,A_j,0.40911729590139323,1,1.0,1.0,294.8091390894756,0.0
4356,22.93,469634.2264436966,1.0,23.270248104786713,44.70211108470731,23.667076895646105,77.02256881189264,A_j,0.39682879085939105,1,1.0,1.0,297.0315080478798,0.0
